date,source_type,secucode,name,entry_price,fixed5_status,fixed5_date,fixed5_return,ma5_status,ma5_date,ma5_return,ma5_reason,source_dir,note,one_lot_cost,lots_3w,capital_3w,can_buy_3w,lots_4w,capital_4w,can_buy_4w,budget,mode,action,capital_used,return,pnl,pnl_type,return_status,exit_date,skip_reason
2026-06-08,proxy_fill,688017.SH,绿的谐波,428.25,closed,2026-06-15,-0.13120075890251018,closed,2026-06-15,-0.13120075890251018,day5_net_return_not_positive,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/full_proxy_rank1_ma5_recent_month_20260701_175222,缺真实14:50保存报告；用历史日线代理回测补齐,42825.0,0,0.0,no,0,0.0,no,30000,ma5,skip,0.0,0.0,0.0,skip,skipped,,one_lot_cost_gt_budget
2026-06-09,proxy_fill,688525.SH,佰维存储,304.936,closed,2026-06-16,0.11526216386389296,closed,2026-07-01,0.517280948133379,max_hold_sessions,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/full_proxy_rank1_ma5_recent_month_20260701_175222,缺真实14:50保存报告；用历史日线代理回测补齐,30493.6,0,0.0,no,1,30493.6,yes,30000,ma5,skip,0.0,0.0,0.0,skip,skipped,,one_lot_cost_gt_budget
2026-06-10,proxy_fill,688072.SH,拓荆科技,618.0,closed,2026-06-17,0.19611100323624595,open_ma5_hold,2026-06-26,0.34497831715210353,profit_above_ma5,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/full_proxy_rank1_ma5_recent_month_20260701_175222,缺真实14:50保存报告；用历史日线代理回测补齐,61800.0,0,0.0,no,0,0.0,no,30000,ma5,skip,0.0,0.0,0.0,skip,skipped,,one_lot_cost_gt_budget
2026-06-11,actual_saved_1450,688308.SH,欧科亿,142.0,closed,2026-06-18,0.3265873239436619,closed,2026-06-23,0.2682774647887323,close_below_ma5,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260611_150059,真实保存14:50窗口建议,14200.0,2,28400.0,yes,2,28400.0,yes,30000,ma5,buy,28400.0,0.2682774647887323,7619.079999999998,realized,closed,2026-06-23,
2026-06-12,actual_saved_1450,000657.SZ,中钨高新,80.23,closed,2026-06-22,0.3489430512277201,closed,2026-06-26,0.23900911130499822,close_below_ma5,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260612_145350,真实保存14:50窗口建议,8023.0,3,24069.0,yes,4,32092.0,yes,30000,ma5,buy,24069.0,0.23900911130499822,5752.7103000000025,realized,closed,2026-06-26,
2026-06-15,actual_saved_1450,688146.SH,中船特气,317.1,closed,2026-06-22,0.22856439608956167,closed,2026-06-30,0.10242122358877323,close_below_ma5,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260615_145326,真实保存14:50窗口建议,31710.0,0,0.0,no,1,31710.0,yes,30000,ma5,skip,0.0,0.0,0.0,skip,skipped,,one_lot_cost_gt_budget
2026-06-16,actual_saved_1450,600487.SH,亨通光电,107.36,closed,2026-06-23,0.0888453055141579,closed,2026-06-26,0.028301341281669137,close_below_ma5,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260616_145245,真实保存14:50窗口建议,10736.0,2,21472.0,yes,3,32208.0,yes,30000,ma5,buy,21472.0,0.028301341281669137,607.6863999999997,realized,closed,2026-06-26,
2026-06-17,actual_saved_1450,688146.SH,XD中船特,335.28,closed,2026-06-26,0.1487835122882369,closed,2026-06-30,0.04257377714149387,close_below_ma5,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260617_145052,真实保存14:50窗口建议,33528.0,0,0.0,no,1,33528.0,yes,30000,ma5,skip,0.0,0.0,0.0,skip,skipped,,one_lot_cost_gt_budget
2026-06-18,actual_saved_1450,688146.SH,中船特气,357.06,closed,2026-06-26,0.07863054388618171,open_ma5_hold,2026-07-01,0.05905400212849384,profit_above_ma5,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260618_145027,真实保存14:50窗口建议,35706.0,0,0.0,no,1,35706.0,yes,30000,ma5,skip,0.0,0.0,0.0,skip,skipped,,one_lot_cost_gt_budget
2026-06-22,actual_saved_1450,688146.SH,中船特气,390.1,closed,2026-06-29,-0.0528252499359139,open_unmatured,2026-07-01,-0.030753986157395583,before_day5_check,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260622_145139,真实保存14:50窗口建议,39010.0,0,0.0,no,1,39010.0,yes,30000,ma5,skip,0.0,0.0,0.0,skip,skipped,,one_lot_cost_gt_budget
2026-06-23,actual_saved_1450,603929.SH,亚翔集成,210.57,closed,2026-06-30,0.2905269459087239,closed,2026-07-01,0.2230434487343876,close_below_ma5,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260623_145130,真实保存14:50窗口建议,21057.0,1,21057.0,yes,1,21057.0,yes,30000,ma5,buy,21057.0,0.2230434487343876,4696.6259,realized,closed,2026-07-01,
2026-06-24,actual_saved_1450,301319.SZ,唯特偶,200.2,closed,2026-07-01,-0.14026103896103895,closed,2026-07-01,-0.14026103896103895,day5_net_return_not_positive,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260624_145243,真实保存14:50窗口建议,20020.0,1,20020.0,yes,1,20020.0,yes,30000,ma5,buy,20020.0,-0.14026103896103895,-2808.026,realized,closed,2026-07-01,
2026-06-25,actual_saved_1450,300308.SZ,中际旭创,1332.75,open_unmatured,2026-07-01,-0.08352097167510777,open_unmatured,2026-07-01,-0.08352097167510777,before_day5_check,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260625_145020,真实保存14:50窗口建议,133275.0,0,0.0,no,0,0.0,no,30000,ma5,skip,0.0,0.0,0.0,skip,skipped,,one_lot_cost_gt_budget
2026-06-26,actual_saved_1450,603986.SH,兆易创新,770.0,open_unmatured,2026-07-01,0.0013103896103895075,open_unmatured,2026-07-01,0.0013103896103895075,before_day5_check,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260626_145153,真实保存14:50窗口建议,77000.0,0,0.0,no,0,0.0,no,30000,ma5,skip,0.0,0.0,0.0,skip,skipped,,one_lot_cost_gt_budget
2026-06-29,proxy_fill,688525.SH,佰维存储,507.0,open_unmatured,2026-07-06,-0.037039644970414266,open_unmatured,2026-07-01,-0.08794694280078899,before_day5_check,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/full_proxy_rank1_ma5_recent_month_20260701_175222,缺真实14:50保存报告；用历史日线代理回测补齐,50700.0,0,0.0,no,0,0.0,no,30000,ma5,skip,0.0,0.0,0.0,skip,skipped,,one_lot_cost_gt_budget
2026-06-30,actual_saved_1450,688002.SH,睿创微纳,154.67,open_unmatured,2026-07-01,-0.037958692700588305,open_unmatured,2026-07-01,-0.037958692700588305,before_day5_check,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260630_145156,真实保存14:50窗口建议,15467.0,1,15467.0,yes,2,30934.0,yes,30000,ma5,buy,15467.0,-0.037958692700588305,-587.1070999999993,floating,open_unmatured,2026-07-01,
2026-06-01,proxy_fill,688396.SH,华润微,65.549,closed,2026-06-08,-0.04737240385055456,closed,2026-06-08,-0.04737240385055456,day5_net_return_not_positive,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/full_proxy_rank1_ma5_recent_month_20260701_175222,缺真实14:50保存报告；用历史日线代理回测补齐,6554.9,4,26219.6,yes,6,39329.4,yes,40000,fixed5,buy,39329.4,-0.04737240385055456,-1863.1282200000005,realized,closed,2026-06-08,
2026-06-02,proxy_fill,688525.SH,佰维存储,303.186,closed,2026-06-09,0.004472034328761944,closed,2026-06-09,0.004472034328761944,close_below_ma5,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/full_proxy_rank1_ma5_recent_month_20260701_175222,缺真实14:50保存报告；用历史日线代理回测补齐,30318.6,0,0.0,no,1,30318.6,yes,40000,fixed5,buy,30318.6,0.004472034328761944,135.58582000000186,realized,closed,2026-06-09,
2026-06-03,proxy_fill,688525.SH,佰维存储,313.786,closed,2026-06-10,0.00826065598847622,closed,2026-06-25,0.5293610237550433,max_hold_sessions,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/full_proxy_rank1_ma5_recent_month_20260701_175222,缺真实14:50保存报告；用历史日线代理回测补齐,31378.6,0,0.0,no,1,31378.6,yes,40000,fixed5,buy,31378.6,0.00826065598847622,259.2078199999999,realized,closed,2026-06-10,
2026-06-04,proxy_fill,688347.SH,华虹宏力,244.0,closed,2026-06-11,-0.09412786885245908,closed,2026-06-11,-0.09412786885245908,day5_net_return_not_positive,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/full_proxy_rank1_ma5_recent_month_20260701_175222,缺真实14:50保存报告；用历史日线代理回测补齐,24400.0,1,24400.0,yes,1,24400.0,yes,40000,fixed5,buy,24400.0,-0.09412786885245908,-2296.7200000000016,realized,closed,2026-06-11,
2026-06-05,proxy_fill,688102.SH,斯瑞新材,37.59,closed,2026-06-12,0.10511127959563712,closed,2026-06-16,0.056162090981643896,close_below_ma5,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/full_proxy_rank1_ma5_recent_month_20260701_175222,缺真实14:50保存报告；用历史日线代理回测补齐,3759.0,7,26313.0,yes,10,37590.0,yes,40000,fixed5,buy,37590.0,0.10511127959563712,3951.1329999999994,realized,closed,2026-06-12,
2026-06-08,proxy_fill,688017.SH,绿的谐波,428.25,closed,2026-06-15,-0.13120075890251018,closed,2026-06-15,-0.13120075890251018,day5_net_return_not_positive,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/full_proxy_rank1_ma5_recent_month_20260701_175222,缺真实14:50保存报告；用历史日线代理回测补齐,42825.0,0,0.0,no,0,0.0,no,40000,fixed5,skip,0.0,0.0,0.0,skip,skipped,,one_lot_cost_gt_budget
2026-06-09,proxy_fill,688525.SH,佰维存储,304.936,closed,2026-06-16,0.11526216386389296,closed,2026-07-01,0.517280948133379,max_hold_sessions,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/full_proxy_rank1_ma5_recent_month_20260701_175222,缺真实14:50保存报告；用历史日线代理回测补齐,30493.6,0,0.0,no,1,30493.6,yes,40000,fixed5,buy,30493.6,0.11526216386389296,3514.7583200000063,realized,closed,2026-06-16,
2026-06-10,proxy_fill,688072.SH,拓荆科技,618.0,closed,2026-06-17,0.19611100323624595,open_ma5_hold,2026-06-26,0.34497831715210353,profit_above_ma5,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/full_proxy_rank1_ma5_recent_month_20260701_175222,缺真实14:50保存报告；用历史日线代理回测补齐,61800.0,0,0.0,no,0,0.0,no,40000,fixed5,skip,0.0,0.0,0.0,skip,skipped,,one_lot_cost_gt_budget
2026-06-11,actual_saved_1450,688308.SH,欧科亿,142.0,closed,2026-06-18,0.3265873239436619,closed,2026-06-23,0.2682774647887323,close_below_ma5,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260611_150059,真实保存14:50窗口建议,14200.0,2,28400.0,yes,2,28400.0,yes,40000,fixed5,buy,28400.0,0.3265873239436619,9275.079999999998,realized,closed,2026-06-18,
2026-06-12,actual_saved_1450,000657.SZ,中钨高新,80.23,closed,2026-06-22,0.3489430512277201,closed,2026-06-26,0.23900911130499822,close_below_ma5,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260612_145350,真实保存14:50窗口建议,8023.0,3,24069.0,yes,4,32092.0,yes,40000,fixed5,buy,32092.0,0.3489430512277201,11198.280399999994,realized,closed,2026-06-22,
2026-06-15,actual_saved_1450,688146.SH,中船特气,317.1,closed,2026-06-22,0.22856439608956167,closed,2026-06-30,0.10242122358877323,close_below_ma5,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260615_145326,真实保存14:50窗口建议,31710.0,0,0.0,no,1,31710.0,yes,40000,fixed5,buy,31710.0,0.22856439608956167,7247.777,realized,closed,2026-06-22,
2026-06-16,actual_saved_1450,600487.SH,亨通光电,107.36,closed,2026-06-23,0.0888453055141579,closed,2026-06-26,0.028301341281669137,close_below_ma5,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260616_145245,真实保存14:50窗口建议,10736.0,2,21472.0,yes,3,32208.0,yes,40000,fixed5,buy,32208.0,0.0888453055141579,2861.5295999999976,realized,closed,2026-06-23,
2026-06-17,actual_saved_1450,688146.SH,XD中船特,335.28,closed,2026-06-26,0.1487835122882369,closed,2026-06-30,0.04257377714149387,close_below_ma5,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260617_145052,真实保存14:50窗口建议,33528.0,0,0.0,no,1,33528.0,yes,40000,fixed5,buy,33528.0,0.1487835122882369,4988.413600000007,realized,closed,2026-06-26,
2026-06-18,actual_saved_1450,688146.SH,中船特气,357.06,closed,2026-06-26,0.07863054388618171,open_ma5_hold,2026-07-01,0.05905400212849384,profit_above_ma5,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260618_145027,真实保存14:50窗口建议,35706.0,0,0.0,no,1,35706.0,yes,40000,fixed5,buy,35706.0,0.07863054388618171,2807.582200000004,realized,closed,2026-06-26,
2026-06-22,actual_saved_1450,688146.SH,中船特气,390.1,closed,2026-06-29,-0.0528252499359139,open_unmatured,2026-07-01,-0.030753986157395583,before_day5_check,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260622_145139,真实保存14:50窗口建议,39010.0,0,0.0,no,1,39010.0,yes,40000,fixed5,buy,39010.0,-0.0528252499359139,-2060.713000000001,realized,closed,2026-06-29,
2026-06-23,actual_saved_1450,603929.SH,亚翔集成,210.57,closed,2026-06-30,0.2905269459087239,closed,2026-07-01,0.2230434487343876,close_below_ma5,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260623_145130,真实保存14:50窗口建议,21057.0,1,21057.0,yes,1,21057.0,yes,40000,fixed5,buy,21057.0,0.2905269459087239,6117.625899999999,realized,closed,2026-06-30,
2026-06-24,actual_saved_1450,301319.SZ,唯特偶,200.2,closed,2026-07-01,-0.14026103896103895,closed,2026-07-01,-0.14026103896103895,day5_net_return_not_positive,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260624_145243,真实保存14:50窗口建议,20020.0,1,20020.0,yes,1,20020.0,yes,40000,fixed5,buy,20020.0,-0.14026103896103895,-2808.026,realized,closed,2026-07-01,
2026-06-25,actual_saved_1450,300308.SZ,中际旭创,1332.75,open_unmatured,2026-07-01,-0.08352097167510777,open_unmatured,2026-07-01,-0.08352097167510777,before_day5_check,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260625_145020,真实保存14:50窗口建议,133275.0,0,0.0,no,0,0.0,no,40000,fixed5,skip,0.0,0.0,0.0,skip,skipped,,one_lot_cost_gt_budget
2026-06-26,actual_saved_1450,603986.SH,兆易创新,770.0,open_unmatured,2026-07-01,0.0013103896103895075,open_unmatured,2026-07-01,0.0013103896103895075,before_day5_check,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260626_145153,真实保存14:50窗口建议,77000.0,0,0.0,no,0,0.0,no,40000,fixed5,skip,0.0,0.0,0.0,skip,skipped,,one_lot_cost_gt_budget
2026-06-29,proxy_fill,688525.SH,佰维存储,507.0,open_unmatured,2026-07-06,-0.037039644970414266,open_unmatured,2026-07-01,-0.08794694280078899,before_day5_check,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/full_proxy_rank1_ma5_recent_month_20260701_175222,缺真实14:50保存报告；用历史日线代理回测补齐,50700.0,0,0.0,no,0,0.0,no,40000,fixed5,skip,0.0,0.0,0.0,skip,skipped,,one_lot_cost_gt_budget
2026-06-30,actual_saved_1450,688002.SH,睿创微纳,154.67,open_unmatured,2026-07-01,-0.037958692700588305,open_unmatured,2026-07-01,-0.037958692700588305,before_day5_check,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260630_145156,真实保存14:50窗口建议,15467.0,1,15467.0,yes,2,30934.0,yes,40000,fixed5,buy,30934.0,-0.037958692700588305,-1174.2141999999985,floating,open_unmatured,2026-07-01,
